ISBN,Title,Voulme_NO,Edition,category,Price,AuthName,Publisher_ID,Published_year
9780307950284,Steve Jobs,1,1st edition,Biography,$13.45 ,Walter Issacson,PID101,2011
9780195623598,Discovery of India,1,3rd edition,History,$12 ,Jawaharlal Nehru,PID102,1946
9781539685708,My Experiments with Truth,1,1st edition,Autobiography,$14.25 ,Mahatma Gandhi,PID103,1925
9780023606823,Object Oriented Programming with C++,1,6th edition,Education,$17.25 ,E Balagurusamy,PID104,2001
9781568984483,Thinking with type,1,2nd edition,Arts,$16.50 ,Ellen Lupton,PID105,2004
9781781574553,The Photographer's,1,3rd edition,Photography,$14.75 ,Lindsay Adler,PID106,2022
9783959721714,Think and Grow,1,5th edition,Economics,$17.25 ,Napoleon Hill,PID101,1937
9780385260954,The Fifth Discipline : The Art,1,1st edition,Management,$13.50 ,Peter M.Senge,PID107,2006
9783050042671,A Theory of Justice,1,1st edition,Law,$14.25 ,John Rawls,PID108,1971
9780316120913,Eat to Live,1,2nd edition,Health,$13.45 ,Joel Fuhrman,PID109,1999
9788408131939,City of Heavenly Fire,1,4th edition,Fiction,$12 ,Cassandra Clare,PID110,2012
9780307474278,Da Vinci Code,1,4th edition,Fiction,$14.25 ,Dan Brown,PID107,2006
9780199232765,War and Peace,1,5th edition,Philosophical fiction,$17.25 ,Leo Tolstoy,PID111,1882
9781530051120,Python For All,1,7th edition,Education,$16.50 ,John Shovic,PID112,1948
9783864907531,Automate The Boring Stuff With Python,1,1st edition,Education,$14.75 ,Al Sweigart,PID113,1998
9780545685344,Wings Of Fire,1,1st edition,Autobiography,$17.25 ,APJ Abdul Kalam,PID114,2001
9783548746654,Ikigai,1,1st edition,Personal Development,$13.50 ,Hector Garcia,PID115,2017
9788417347000,Who Will Cry When You Will Die,1,1st edition,Personal Development,$14.25 ,Robin Sharma,PID116,1992
9788416517374,Rich Dad Poor Dad,1,3rd edition,Business,$13.45 ,Robert T. Kiyosaki,PID117,2009
9788445007006,Immortals of Meluha,1,2nd edition,High Fantasy,$12 ,Amish Tirpathi,PID118,2003
9788419172105,A Brief History Of Time,1,3rd edition,SPACE,$14.25 ,Stephen Hawking,PID119,2021
2910025142747,I Know Why The Cage Bird Sings,1,1st edition,Story,$17.25 ,Maya Anguelo,PID120,2011
9788401027345,Lord Of Files,1,5th edition,Fiction,$16.50 ,William Golding,PID121,1988
9788418037757,Loara Dune,1,6th edition,Fiction,$14.75 ,R. D Blackmore,PID122,2002
9788418037214,Jamacia Inn,1,1st edition,Fiction,$17.25 ,Daphne,PID123,2001
9788418051197,Kidnapped,1,1st edition,Fiction,$13.50 ,Robert Louis,PID124,2007
9788445009420,Treasure Island,1,2nd edition,Fiction,$14.25 ,Robert Louis,PID101,1986
9788445011041,The Call Of Wild,1,2nd edition,Fiction,$13.45 ,Jack London,PID125,1999
9788445011102,Charlottes Web,1,6th edition,Fiction,$12 ,E. B White,PID126,2000
9788466658911,The Wind In Willows,1,2nd edition,Fiction,$14.25 ,Kenneth Grahame,PID101,2019
9788418451812,Being and Time,1,4th edition,Philosophy,$17.25 ,Martin Heldegger,PID127,1994
9788418037290,The Republic,1,5th edition,Philosophy,$16.50 ,Rocha Pereia,PID101,1983
9788492628902,Critique For Pure Reason,1,5th edition,Philosophy,$14.75 ,Paul Guyer,PID101,2001
9788494836695,The Prince,1,3rd edition,Philosophy,$17.25 ,Rufus Godwin,PID101,2016
9788417517793,Ethics,1,2nd edition,Philosophy,$13.50 ,Stuart Hampshire,PID128,2001
9788417347932,Long Walk To Freedom,1,1st edition,Autobiography,$14.25 ,Nelson Mandela,PID109,1980
9788418668371,The Dairy Of Young Girl,1,7th edition,Autobiography,$13.45 ,Anne Frank,PID129,2000
9788498890532,Mark Twain,1,5th edition,Autobiography,$12 ,Mark Twain,PID130,2004
9788445011164,Mein Kampf,1,1st edition,Autobiography,$14.25 ,Adolf Hitler,PID131,1972
9788445073810,Freakonomics,1,1st edition,Economics,$17.25 ,Steveb D.Levit,PID132,2003
9788401346873,Thinking Fast and Slow,1,4th edition,Economics,$16.50 ,Daniel Kahneman,PID133,1967
